"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude","country_code_2","Flag"
"Poland",2016,"Azerbaijan",2,"Jury","Low","AZE",40.1431,47.5769,"az","https://public.flourish.studio/country-flags/svg/az.svg"
"Poland",2016,"Norway",1,"Jury","Low","NOR",60.472,8.4689,"no","https://public.flourish.studio/country-flags/svg/no.svg"
"Poland",2016,"Lithuania",3,"Jury","Low","LTU",55.1694,23.8813,"lt","https://public.flourish.studio/country-flags/svg/lt.svg"
"Poland",2016,"Montenegro",1,"Jury","Low","MNE",42.7087,19.3744,"me","https://public.flourish.studio/country-flags/svg/me.svg"
"Australia",2016,"Austria",12,"Jury","High","AUT",47.5162,14.5501,"at","https://public.flourish.studio/country-flags/svg/at.svg"
"Australia",2016,"Iceland",10,"Jury","High","ISL",64.9631,-19.0208,"is","https://public.flourish.studio/country-flags/svg/is.svg"
"Australia",2016,"Azerbaijan",7,"Jury","Low","AZE",40.1431,47.5769,"az","https://public.flourish.studio/country-flags/svg/az.svg"
"Australia",2016,"Georgia",8,"Jury","High","GEO",42.3154,43.3569,"ge","https://public.flourish.studio/country-flags/svg/ge.svg"
"Australia",2016,"Bosnia and Herzegovina",10,"Jury","High","BIH",43.9159,17.6791,"ba","https://public.flourish.studio/country-flags/svg/ba.svg"
"Australia",2016,"Malta",3,"Jury","Low","MLT",35.9375,14.3754,"mt","https://public.flourish.studio/country-flags/svg/mt.svg"
"Australia",2016,"Spain",8,"Jury","High","ESP",40.4637,-3.7492,"es","https://public.flourish.studio/country-flags/svg/es.svg"
"Australia",2016,"Finland",8,"Jury","High","FIN",61.9241,25.7482,"fi","https://public.flourish.studio/country-flags/svg/fi.svg"
"Australia",2016,"Switzerland",12,"Jury","High","CHE",46.8182,8.2275,"ch","https://public.flourish.studio/country-flags/svg/ch.svg"
"Australia",2016,"Denmark",10,"Jury","High","DNK",56.2639,9.5018,"dk","https://public.flourish.studio/country-flags/svg/dk.svg"
"Australia",2016,"France",6,"Jury","Low","FRA",46.6034,2.2137,"fr","https://public.flourish.studio/country-flags/svg/fr.svg"
"Australia",2016,"Moldova",10,"Jury","High","MDA",47.4116,28.3699,"md","https://public.flourish.studio/country-flags/svg/md.svg"
"Australia",2016,"Armenia",5,"Jury","Low","ARM",40.0691,45.0382,"am","https://public.flourish.studio/country-flags/svg/am.svg"
